Time,Activation,Learning Rate,Iterations,Training Mean Squared Error (MSE),Training Accuracy,Testing MSE,Testing Accuracy
2023-07-05 22:32:47.508211,Sigmoid,0.1,100,0.361,64,0.381,62
2023-07-05 22:33:50.735258,ReLu,0.1,100,0.361,64,0.381,62
2023-07-05 22:34:50.208140,Tanh,0.1,100,0.639,36,0.619,38
2023-07-05 22:36:01.159713,Sigmoid,0.2,100,0.361,64,0.381,62
2023-07-05 22:37:12.037146,Sigmoid,0.3,100,0.361,64,0.381,62
2023-07-05 22:38:22.690842,Sigmoid,0.4,100,0.361,64,0.381,62
2023-07-05 22:39:37.218270,Sigmoid,0.5,100,0.361,64,0.381,62
2023-07-05 22:41:23.838104,Sigmoid,1,100,0.361,64,0.381,62
2023-07-05 22:41:32.138712,Sigmoid,0.1,10,0.361,64,0.381,62
2023-07-05 22:42:54.394755,Sigmoid,0.1,100,0.361,64,0.381,62
2023-07-05 22:55:10.056949,Sigmoid,0.1,1000,0.361,64,0.381,62
